line	path	methods	auth
13254	/admin/today.html	GET/ANY	NONE
13383	/admin/sport-detail.html	GET/ANY	NONE
13493	/admin/cron-status.html	GET/ANY	NONE
13615	/admin/env-audit	GET,POST	ADMIN_HEADER_OR_QUERY
13707	/admin/holdout-status	GET,POST	ADMIN_HEADER_OR_QUERY
13723	/admin/test-broadcast	GET,POST	REQUIRE_ADMIN
13771	/admin/security-status	GET,POST	REQUIRE_ADMIN
13830	/admin/nightly-retrain-status	GET,POST	ADMIN_HEADER_OR_QUERY
13889	/admin/tip-debug	GET,POST	ADMIN_HEADER_OR_QUERY
13964	/admin/cross-significance	GET/ANY	REQUIRE_ADMIN
13979	/admin/hg-neg-readiness	GET/ANY	ADMIN_HEADER_OR_QUERY
14001	/admin/learning-activity	GET,POST	ADMIN_HEADER_OR_QUERY
14083	/admin/clv-history	GET	ADMIN_HEADER_OR_QUERY
14146	/admin/cross-significance-history	GET,POST	ADMIN_HEADER_OR_QUERY
14200	/admin/gate-attribution-snapshot	GET,POST	ADMIN_HEADER_OR_QUERY
14234	/admin/ml-gate-rejected-audit	GET,POST	ADMIN_HEADER_OR_QUERY
14281	/admin/sofascore-proxy-health	GET,POST	ADMIN_HEADER_OR_QUERY
14371	/admin/shadow-vs-real-snapshot	GET,POST	ADMIN_HEADER_OR_QUERY
14421	/admin/sport-leak-summary	GET,POST	ADMIN_HEADER_OR_QUERY
14543	/admin/tennis-calib-meta	GET	REQUIRE_ADMIN
14555	/admin/tennis-calib-raw	GET	REQUIRE_ADMIN
14595	/admin/news-impact	GET	REQUIRE_ADMIN
14610	/admin/news-impact-inject	POST	REQUIRE_ADMIN
14630	/admin/live-tips-debug	GET	REQUIRE_ADMIN
14710	/admin/portfolio-kelly	GET	REQUIRE_ADMIN
14733	/admin/sport-mt-calib-meta	GET	REQUIRE_ADMIN
14747	/admin/fit-sport-mt	POST,GET	REQUIRE_ADMIN
14795	/admin/fit-sport-mt-status	GET	REQUIRE_ADMIN
14816	/admin/fit-tennis-markov	POST,GET	REQUIRE_ADMIN
14842	/admin/p2-status	GET,POST	ADMIN_HEADER_OR_QUERY
14957	/admin/baseline-shadow-stats	GET,POST	ADMIN_HEADER_OR_QUERY
15013	/admin/cron-status	GET,POST	ADMIN_HEADER_OR_QUERY
15165	/admin/pending-tips-diag	GET,POST	REQUIRE_ADMIN
15237	/admin/football-trained-coverage	GET,POST	REQUIRE_ADMIN
15297	/admin/re-propagate-mt	GET,POST	REQUIRE_ADMIN
15352	/admin/match-diagnostic	GET,POST	REQUIRE_ADMIN
15470	/admin/env-audit	GET,POST	ADMIN_HEADER_OR_QUERY
15556	/admin/tg-commands	GET,POST	ADMIN_HEADER_OR_QUERY
15635	/admin/overfeaturing-audit	GET,POST	ADMIN_HEADER_OR_QUERY
15654	/admin/reconciliation	GET	ADMIN_HEADER_OR_QUERY
15672	/admin/feature-inventory	GET	ADMIN_HEADER_OR_QUERY
15769	/admin/time-of-day-analysis	GET,POST	ADMIN_HEADER_OR_QUERY
15842	/admin/risk-metrics	GET,POST	ADMIN_HEADER_OR_QUERY
15980	/admin/live-vs-pre-roi	GET,POST	ADMIN_HEADER_OR_QUERY
16054	/admin/tips-by-confidence	GET,POST	ADMIN_HEADER_OR_QUERY
16197	/admin/tips-unit-audit	GET,POST	ADMIN_HEADER_OR_QUERY
16298	/admin/tips-unit-rescale	POST	ADMIN_HEADER_OR_QUERY
16383	/admin/sport-correlation	GET,POST	ADMIN_HEADER_OR_QUERY
16474	/admin/sport-shadow-envs	GET,POST	REQUIRE_ADMIN
16531	/admin/sport-detail	GET,POST	ADMIN_HEADER_OR_QUERY
16614	/admin/blocklist-stats	GET,POST	ADMIN_HEADER_OR_QUERY
16669	/admin/mt-status	GET,POST	ADMIN_HEADER_OR_QUERY
16723	/admin/mt-promote-explain	GET/ANY	ADMIN_HEADER_OR_QUERY
16765	/admin/analytics	GET/ANY	NONE
16765	/api/analytics	GET/ANY	NONE
16765	/analytics-data	GET/ANY	NONE
16795	/admin/watchdog-trigger	GET,POST	ADMIN_HEADER_ONLY
16816	/admin/digest-trigger	GET,POST	ADMIN_HEADER_ONLY
16835	/admin/pnl-trigger	GET,POST	ADMIN_HEADER_ONLY
16857	/admin/pnl-daily-now	GET,POST	ADMIN_HEADER_ONLY
16946	/admin/pnl-volume-debug	GET	ADMIN_HEADER_ONLY
16998	/admin/pnl-granular	GET	ADMIN_HEADER_ONLY
17109	/admin/kelly-mult-set	POST,GET	REQUIRE_ADMIN
17137	/admin/mt-bucket-skip-set	POST,GET	REQUIRE_ADMIN
17168	/admin/alerts	GET,POST	ADMIN_HEADER_ONLY
17189	/admin/match-results-reconcile	GET,POST	REQUIRE_ADMIN
17208	/admin/alerts-resolve	POST,GET	REQUIRE_ADMIN
17251	/admin/analytics.html	GET/ANY	NONE
17251	/admin/analytics-ui	GET/ANY	NONE
17360	/admin/cs-live-debug	GET,POST	ADMIN_HEADER_OR_QUERY
17427	/admin/repair	GET,POST	ADMIN_HEADER_OR_QUERY
17529	/admin/force-sync-bankroll	POST	REQUIRE_ADMIN
17613	/admin/run-settle	GET/ANY	ADMIN_HEADER_OR_QUERY
18367	/admin/move-football-mt-to-shadow	GET/ANY	REQUIRE_ADMIN
18433	/debug-sport-tips	GET/ANY	REQUIRE_ADMIN
18484	/migrations-status	GET/ANY	REQUIRE_ADMIN
18501	/sports-risk-status	GET/ANY	NONE
18564	/pipeline-status	GET/ANY	NONE
18691	/league-blocklist	GET/ANY	NONE
18735	/clv-histogram	GET/ANY	NONE
18827	/admin/ev-calibration	GET/ANY	REQUIRE_ADMIN
18840	/roi-by-ev-bucket	GET/ANY	NONE
18916	/tips-em-risco	GET/ANY	NONE
18971	/pending-tips-audit	GET/ANY	NONE
19035	/roi-timeline	GET/ANY	NONE
19080	/clv-by-league	GET/ANY	NONE
19148	/exploit-summary	GET/ANY	NONE
19200	/admin/arb-events	GET/ANY	REQUIRE_ADMIN
19215	/admin/sync-oe-players	POST,GET	REQUIRE_ADMIN
19248	/admin/aggregator-status	GET/ANY	REQUIRE_ADMIN
19309	/admin/golgg-test	GET/ANY	REQUIRE_ADMIN
19327	/admin/thespike-test	GET/ANY	REQUIRE_ADMIN
19339	/admin/sync-thespike	POST,GET	REQUIRE_ADMIN
19363	/admin/stratz-test	GET/ANY	REQUIRE_ADMIN
19373	/admin/sync-stratz-matchups	POST,GET	REQUIRE_ADMIN
19392	/admin/tennis-abstract-test	GET/ANY	REQUIRE_ADMIN
19403	/admin/sync-tennis-abstract	POST,GET	REQUIRE_ADMIN
19434	/admin/fb-features	GET/ANY	REQUIRE_ADMIN
19460	/admin/football-data-test	GET/ANY	REQUIRE_ADMIN
19472	/admin/sync-football-data	POST,GET	REQUIRE_ADMIN
19495	/admin/understat-test	GET/ANY	REQUIRE_ADMIN
19506	/admin/sync-understat	POST,GET	REQUIRE_ADMIN
19529	/admin/lol-xcheck	GET/ANY	REQUIRE_ADMIN
19548	/admin/golgg-objectives	GET/ANY	REQUIRE_ADMIN
