[opendota] match_results.dota2 ANTES: 12450
  page: 100 fetched, +0 inserted | total=0/6100 | lastId=8671087701
  page: 100 fetched, +0 inserted | total=0/6200 | lastId=8669433999
  page: 100 fetched, +0 inserted | total=0/6300 | lastId=8668033701
  page: 100 fetched, +0 inserted | total=0/6400 | lastId=8666859627
  page: 100 fetched, +0 inserted | total=0/6500 | lastId=8665721743
  page: 100 fetched, +0 inserted | total=0/6600 | lastId=8664276332
  page: 100 fetched, +0 inserted | total=0/6700 | lastId=8661527310
  page: 100 fetched, +0 inserted | total=0/6800 | lastId=8659242704
  page: 100 fetched, +0 inserted | total=0/6900 | lastId=8657347748
  page: 100 fetched, +0 inserted | total=0/7000 | lastId=8655628504
  page: 100 fetched, +0 inserted | total=0/7100 | lastId=8654403945
  page: 100 fetched, +0 inserted | total=0/7200 | lastId=8652316138
  page: 100 fetched, +0 inserted | total=0/7300 | lastId=8650698191
  page: 100 fetched, +0 inserted | total=0/7400 | lastId=8649461401
  page: 100 fetched, +0 inserted | total=0/7500 | lastId=8648479593
  page: 100 fetched, +0 inserted | total=0/7600 | lastId=8647024943
  page: 100 fetched, +0 inserted | total=0/7700 | lastId=8646135408
  page: 100 fetched, +0 inserted | total=0/7800 | lastId=8644781819
  page: 100 fetched, +0 inserted | total=0/7900 | lastId=8643105996
  page: 100 fetched, +0 inserted | total=0/8000 | lastId=8641803267
  page: 100 fetched, +0 inserted | total=0/8100 | lastId=8640112655
  rate limited (429), backoff 30s...
  page: 100 fetched, +0 inserted | total=0/8200 | lastId=8639306099
  page: 100 fetched, +0 inserted | total=0/8300 | lastId=8637955193
  page: 100 fetched, +0 inserted | total=0/8400 | lastId=8636682507
  page: 100 fetched, +0 inserted | total=0/8500 | lastId=8636029114
  page: 100 fetched, +0 inserted | total=0/8600 | lastId=8633226995
  page: 100 fetched, +0 inserted | total=0/8700 | lastId=8631020015
  page: 100 fetched, +0 inserted | total=0/8800 | lastId=8627987722
  page: 100 fetched, +0 inserted | total=0/8900 | lastId=8625974682
  page: 100 fetched, +0 inserted | total=0/9000 | lastId=8623463189
  page: 100 fetched, +0 inserted | total=0/9100 | lastId=8621237807
  page: 100 fetched, +0 inserted | total=0/9200 | lastId=8619227202
  page: 100 fetched, +0 inserted | total=0/9300 | lastId=8617359948
  page: 100 fetched, +0 inserted | total=0/9400 | lastId=8615208593
  page: 100 fetched, +0 inserted | total=0/9500 | lastId=8612842729
  page: 100 fetched, +0 inserted | total=0/9600 | lastId=8610570203
  page: 100 fetched, +0 inserted | total=0/9700 | lastId=8608750619
  page: 100 fetched, +0 inserted | total=0/9800 | lastId=8606495310
  page: 100 fetched, +0 inserted | total=0/9900 | lastId=8605073469
  page: 100 fetched, +0 inserted | total=0/10000 | lastId=8603495438
  page: 100 fetched, +0 inserted | total=0/10100 | lastId=8601389598
  page: 100 fetched, +0 inserted | total=0/10200 | lastId=8599776953
  page: 100 fetched, +0 inserted | total=0/10300 | lastId=8597725338
  page: 100 fetched, +0 inserted | total=0/10400 | lastId=8595267054
  page: 100 fetched, +0 inserted | total=0/10500 | lastId=8592494459
  page: 100 fetched, +0 inserted | total=0/10600 | lastId=8590131961
  page: 100 fetched, +0 inserted | total=0/10700 | lastId=8588255026
  page: 100 fetched, +0 inserted | total=0/10800 | lastId=8586404067
  page: 100 fetched, +0 inserted | total=0/10900 | lastId=8584125715
  page: 100 fetched, +0 inserted | total=0/11000 | lastId=8582234683
